time_ms,temp1_v,temp2_v,trigger
 18627,161,181,1
 18646,161,182,1
 18665,161,181,1
 18683,161,181,1
 18703,161,181,0
 18721,160,180,1
 18740,161,183,1
 18758,161,181,1
 18777,161,181,1
 18796,161,180,1
 18814,160,181,0
 18834,161,177,1
 18852,161,181,1
 18871,161,181,1
 18889,161,181,1
 18908,161,181,1
 18927,161,181,1
 18945,161,181,1
 18964,161,180,1
 18983,161,181,1
 19002,161,181,1
 19020,161,181,1
 19040,161,181,0
 19058,161,181,0
 19076,161,181,1
 19095,161,180,1
 19114,161,181,1
 19133,161,181,1
 19151,161,180,1
 19171,161,181,1
 19189,161,181,1
 19208,161,181,1
 19226,161,181,1
 19245,161,181,1
 19264,161,181,1
 19282,161,181,1
 19302,161,181,1
 19320,161,181,1
 19339,161,181,1
 19357,161,181,1
 19376,161,180,0
 19395,161,181,0
 19413,161,181,1
 19433,161,181,1
 19451,161,181,1
 19470,161,181,1
 19488,161,181,1
 19508,161,181,1
 19526,161,181,1
 19544,161,180,1
 19563,161,181,1
 19582,161,181,1
 19601,161,181,1
 19619,161,181,1
 19639,161,181,1
 19657,161,181,1
 19675,161,181,1
 19694,160,181,1
 19713,161,181,1
 19732,162,181,0
 19750,161,181,1
 19770,161,181,1
 19788,161,181,1
 19807,161,179,1
 19825,161,181,1
 19844,161,181,1
 19863,161,180,1
 19881,161,181,1
 19901,161,181,1
 19919,161,181,1
 19938,161,181,1
 19956,161,181,1
 19976,161,181,1
 19994,161,181,1
 20012,161,181,1
 20032,161,181,1
 20050,161,181,1
 20069,161,180,0
 20087,161,181,0
 20107,161,181,1
 20125,161,181,1
 20143,161,180,1
 20162,161,181,1
 20181,161,179,1
 20200,161,181,1
 20218,160,181,1
 20238,161,181,1
 20256,161,181,1
 20275,161,181,1
 20293,161,181,1
 20312,161,181,1
 20331,159,181,1
 20349,161,181,1
 20369,161,181,1
 20387,161,181,1
 20406,161,182,0
 20424,161,182,0
 20443,161,181,1
 20462,161,182,1
 20480,161,181,1
 20500,161,181,1
 20518,161,181,1
 20537,161,181,1
 20555,161,181,1
 20575,161,181,1
 20593,161,178,1
 20611,161,181,1
 20631,161,181,1
 20649,161,181,1
 20668,161,181,1
 20686,161,181,1
 20706,161,181,1
 20724,161,181,1
 20742,161,182,0
 20761,161,181,0
 20780,160,181,1
 20799,161,180,1
 20817,161,181,1
 20837,161,181,1
 20855,161,181,1
 20874,161,181,1
 20892,161,181,1
 20911,161,181,1
 20930,161,181,1
 20948,160,181,1
 20968,161,181,1
 20986,161,181,1
 21005,161,181,1
 21023,161,181,1
 21043,161,181,1
 21061,161,181,1
 21079,161,181,0
 21099,161,180,0
 21117,161,181,1
 21136,161,181,1
 21154,161,181,1
 21174,160,181,1
 21192,161,181,1
 21210,161,180,1
 21230,161,181,1
 21248,161,181,1
 21267,161,181,1
 21285,161,181,1
 21305,161,181,1
 21323,161,181,1
 21342,161,181,1
 21360,160,180,1
 21379,161,181,1
 21398,161,181,1
 21416,161,181,1
 21436,161,182,0
 21454,161,181,1
 21473,161,181,1
 21491,161,181,1
 21510,161,181,1
 21529,161,181,1
 21547,161,181,1
 21567,161,181,1
 21585,161,181,1
 21604,161,181,1
 21622,161,182,1
 21642,161,181,1
 21660,161,181,1
 21678,161,181,1
 21698,160,181,1
 21716,161,181,1
 21735,161,182,1
 21753,161,182,1
 21773,161,182,0
 21791,161,182,0
 21809,161,181,1
 21829,161,182,1
 21847,161,181,1
 21866,161,181,1
 21884,161,181,1
 21904,161,181,1
 21922,161,181,1
 21941,161,181,1
 21959,161,181,1
 21978,161,181,1
 21997,160,181,1
 22015,161,181,1
 22035,161,182,1
 22053,161,181,1
 22072,161,181,1
 22090,161,182,1
 22110,161,182,0
 22128,161,181,0
 22146,160,182,1
 22166,161,182,1
 22184,161,182,1
 22203,160,182,1
 22221,161,182,1
 22241,161,181,1
 22259,161,182,1
 22277,161,181,1
 22297,161,181,1
 22315,161,181,1
 22334,161,181,1
 22352,161,181,1
 22372,161,181,1
 22390,161,182,1
 22409,161,181,1
 22428,161,181,1
 22446,161,182,0
 22465,161,180,0
 22483,161,181,1
 22503,161,182,1
 22521,161,181,1
 22540,161,182,1
 22558,161,181,1
 22577,161,181,1
 22596,161,181,1
 22614,161,181,1
 22634,162,181,1
 22652,161,181,1
 22671,161,182,1
 22689,161,182,1
 22709,161,181,1
 22727,161,181,1
 22745,161,181,1
 22765,161,181,1
 22783,161,181,0
 22802,161,182,0
 22820,161,181,1
 22840,161,181,1
 22858,161,180,1
 22876,161,181,1
 22896,161,181,1
 22914,161,181,1
 22933,161,182,1
 22951,161,181,1
 22971,161,182,1
 22989,161,182,1
 23008,161,181,1
 23027,161,182,1
 23045,161,181,1
 23064,161,181,1
 23082,161,182,1
 23102,161,180,1
 23120,161,182,0
 23139,161,182,0
 23157,161,181,1
 23177,161,181,1
 23195,161,182,1
 23213,161,181,1
 23233,161,181,1
 23251,161,181,1
 23270,161,181,1
 23288,161,181,1
 23308,161,182,1
 23326,161,182,1
 23344,161,181,1
 23364,161,181,1
 23382,161,182,1
 23401,161,181,1
 23419,161,182,1
 23439,161,182,1
 23457,161,182,0
 23476,161,182,0
 23495,160,182,1
 23513,161,181,1
 23532,161,181,1
 23550,161,182,1
 23570,161,182,1
 23588,161,182,1
 23607,161,182,1
 23626,161,182,1
 23644,160,181,1
 23663,161,181,1
 23681,161,181,1
 23701,161,181,1
 23719,161,182,1
 23738,161,182,1
 23756,161,181,1
 23776,161,182,1
 23794,161,182,0
 23812,161,176,0
 23832,161,182,1
 23850,161,182,1
 23869,161,182,1
 23887,161,182,1
 23907,161,182,1
 23925,161,182,1
 23944,161,181,1
 23963,161,181,1
 23981,161,179,1
 24000,161,181,1
 24018,161,181,1
 24038,161,182,1
 24056,161,181,1
 24075,161,181,1
 24094,161,182,1
 24112,161,182,1
 24131,160,182,0
 24149,161,182,0
 24169,160,182,1
 24187,161,182,1
 24206,161,182,1
 24225,160,181,1
 24244,161,182,1
 24262,161,182,1
 24280,161,182,1
 24300,161,181,1
 24318,161,180,1
 24337,161,182,1
 24355,161,182,1
 24375,161,182,1
 24393,161,182,1
 24411,161,182,1
 24431,161,182,1
 24449,161,182,1
 24468,160,182,0
 24486,161,182,0
 24506,161,182,1
 24524,161,182,1
 24543,161,182,1
 24562,161,180,1
 24580,161,181,1
 24599,161,181,1
 24617,161,182,1
 24637,160,182,1
 24655,161,182,1
 24674,161,182,1
 24693,161,181,1
 24712,161,182,1
 24730,161,182,1
 24748,161,182,1
 24768,161,182,1
 24786,161,182,1
 24805,161,182,0
 24824,161,182,0
 24843,160,183,1
 24861,160,182,1
 24879,161,180,1
 24899,161,182,1
 24917,161,182,1
 24936,161,182,1
 24954,160,182,1
 24974,160,182,1
 24992,161,182,1
 25011,161,182,1
 25030,161,183,1
 25048,161,181,1
 25067,161,182,1
 25085,160,182,1
 25105,160,182,1
 25123,161,182,1
 25142,161,182,0
 25161,161,182,0
 25179,161,182,1
 25198,161,182,1
 25216,161,182,1
 25236,161,182,1
 25254,160,182,1
 25273,160,182,1
 25292,161,182,1
 25311,161,182,1
 25329,161,182,1
 25347,161,182,1
 25367,161,182,1
 25385,162,182,1
 25404,161,182,1
 25423,161,182,1
 25442,161,181,1
 25460,161,182,1
 25478,161,182,0
 25498,161,182,0
 25516,161,182,1
 25535,161,182,1
 25553,161,182,1
 25573,161,182,1
 25591,161,182,1
 25610,160,182,1
 25629,161,182,1
 25647,161,182,1
 25666,160,182,1
 25684,161,182,1
 25704,161,181,1
 25722,161,182,1
 25741,161,182,1
 25760,161,182,1
 25779,161,182,1
 25797,160,182,1
 25815,161,180,0
 25835,161,182,0
 25853,161,182,1
 25872,161,182,1
 25891,160,182,1
 25910,161,182,1
 25928,161,182,1
 25946,160,182,1
 25966,161,182,1
 25984,161,182,1
 26003,161,181,1
 26022,161,182,1
 26041,161,182,1
 26059,161,182,1
 26078,161,182,1
 26097,160,182,1
 26115,161,181,1
 26134,161,181,1
 26152,161,182,0
 26172,161,182,0
 26190,160,182,1
 26209,161,182,1
 26228,161,182,1
 26246,161,182,1
 26265,161,182,1
 26283,160,182,1
 26303,161,182,1
 26321,160,182,1
 26340,161,182,1
 26359,161,182,1
 26378,161,182,1
 26396,161,182,1
 26414,161,182,1
 26434,161,181,1
 26452,161,183,1
 26471,161,182,1
 26490,161,183,0
 26509,161,182,0
 26527,160,182,1
 26545,161,182,1
 26565,161,182,1
 26583,161,182,1
 26602,161,182,1
 26621,161,182,1
 26640,161,182,1
 26658,161,181,1
 26677,160,182,1
 26696,161,183,1
 26714,160,180,1
 26733,161,182,1
 26751,160,182,1
 26771,161,182,1
 26789,161,181,1
 26808,161,182,1
 26827,161,182,0
 26846,160,183,1
 26864,160,182,1
 26882,161,182,1
 26902,161,182,1
 26920,160,182,1
 26939,161,182,1
 26958,161,182,1
 26977,161,182,1
 26995,160,182,1
 27013,160,182,1
 27033,161,182,1
 27051,161,182,1
 27070,161,182,1
 27089,161,182,1
 27108,161,182,1
 27126,159,182,1
 27145,161,181,1
 27164,161,182,0
 27182,161,182,1
 27201,161,182,1
 27220,161,182,1
 27239,160,182,1
 27257,161,182,1
 27276,161,182,1
 27295,161,182,1
 27313,160,182,1
 27332,161,182,1
 27350,160,182,1
 27370,161,182,1
 27388,161,182,1
 27407,161,182,1
 27426,161,182,1
 27445,164,182,1
 27463,161,181,1
 27481,161,184,0
 27501,161,182,0
 27519,160,182,1
 27538,161,182,1
 27557,161,180,1
 27576,160,182,1
 27594,161,182,1
 27612,161,183,1
 27632,161,182,1
 27650,161,182,1
 27669,160,182,1
 27688,160,180,1
 27707,161,182,1
 27725,161,182,1
 27744,160,182,1
 27763,161,181,1
 27781,161,180,1
 27800,161,183,1
 27819,161,182,0
 27838,161,183,0
 27856,161,183,1
 27875,161,182,1
 27894,161,181,1
 27913,161,183,1
 27931,161,182,1
 27949,161,182,1
